Product Name, Price, Price per Unit
Woolworths Cook Potato Baby Herb & Butter 400g,$5.00,$12.50 / 1KG
Gourmet Garden Garlic Cold Blended Paste Tube 120g,$5.00,$0.42 / 10G
Macro Fresh Celery Heart Organic Each,$5.50,$5.50 / 1EA
Orange Navel 5 Pack,$4.90,$0.98 / 1EA
Fresh Corella Pear Each,$1.18,$1.18 / 1EA
Kanzi Apple 1kg Punnet,$4.90,$4.90 / 1KG
Gourmet Garden Parsley Lightly Dried 8g Sachet,$4.00,$5.00 / 10G
Macro Dutch Cream Organic Potato 1kg Punnet,$4.50,$4.50 / 1KG
"Woolworths Carrot, Corn & Beans 350g",$5.00,$14.29 / 1KG
Gourmet Garden Basil Lightly Dried 10g Sachet,$4.00,$4.00 / 10G
Macro Organic Sweet Potato Each,$4.28,$4.28 / 1EA
Corn Sweet Polka Dot 500g Punnet,$4.90,$9.80 / 1KG
Papaya Red Whole Each,$4.50,$4.50 / 1EA
Pumpkin Jarrahdale Whole Each,$10.50,$10.50 / 1EA
Macro Organic Royal Gala Apple Punnet 1kg,$7.50,$7.50 / 1KG
Onion White Each,$1.10,$1.10 / 1EA
Woolworths Cook Cauliflower Broccoli & Carrot With Herb Butter 200g,$5.00,$25.00 / 1KG
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Fresh Chokoes Each,$1.57,$1.57 / 1EA
Woolworths Cook Stir Fry Mix Super Greens 550g,$5.00,$9.09 / 1KG
Ambrosia Apple Each,$1.18,$1.18 / 1EA
Choy Sum Baby Asian Greens Each,$2.50,$2.50 / 1EA
Woolworths Carrot Dutch Bunch Each,$2.90,$2.90 / 1EA
Potato Kipfler Brushed Each,$0.60,$0.60 / 1EA
Fresh Beurre Bosc Pear 750g Punnet,$2.90,$3.87 / 1KG
Mandarin Amorette 750g,$4.50,$6.43 / 1KG
Woolworths Sweet Baby Vine Capsicum 175g,$3.90,$22.29 / 1KG
Woolworths Washed & Ready To Cook Mixed Rainbow Vegetables 750g,$7.50,$10.00 / 1KG
Woolworths White Flat Mushrooms Punnet 375g,$7.00,$18.67 / 1KG
Just Veg. Carrot Sticks 150g,$2.00,$13.33 / 1KG
Envy Apple 1kg Punnet,$6.90,$6.90 / 1KG
Woolworths Lemongrass Fresh Herb 30g Punnet,$3.20,$1.07 / 10G
Woolworths Red Seedless Grapes Bunch Each,$17.01,$17.01 / 1EA
Macro Organic Avocado Each,$3.50,$3.50 / 1EA
Woolworths Washed & Ready To Cook Cauliflower Florets 150g,$2.00,$13.33 / 1KG
Pomegranate Fresh Each,$4.50,$4.50 / 1EA
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
Fresh Broccoli Each,$0.92,$0.92 / 1EA
Woolworths Australian Grown Carrots 1kg,$1.40,$1.40 / 1KG
Red Capsicum Each,$0.98,$0.98 / 1EA
Fresh Tomato Each,$0.43,$0.43 / 1EA
Fresh Pink Lady Apples Each,$1.03,$1.03 / 1EA
Custard Apple Fresh Each,$4.95,$4.95 / 1EA
Woolworths Good To Go Seasonal Melon Mix 200g,$4.50,$22.50 / 1KG
Organic Roma Tomato 500g,$8.50,$17.00 / 1KG
Woolworths Mixed Fruit Salad With Passionfruit 200g,$4.50,$22.50 / 1KG
Woolworths Coconut Fresh Each,$4.90,$4.90 / 1EA
Perfection Fruit Duo Fresh Cut 200g,$4.50,$22.50 / 1KG
Cavendish Bananas Each,$0.72,$0.72 / 1EA
Fresh Strawberry 250g,$2.50,$10.00 / 1KG
Hass Avocado Each,$1.80,$1.80 / 1EA
