Product Name,Price,Price per Unit
D'orsogna Chorizo From The Deli Per Kg,$24.00,$24.00 / 1KG
D'orsogna Triple Smoked Leg Ham 97% Fat Free Sliced From The Deli Per Kg,$22.50,$22.50 / 1KG
Woolworths Shortcut Bacon 500g,$8.00,$16.00 / 1KG
Deli Leg Ham Shaved From The Deli Per Kg,$18.00,$18.00 / 1KG
San Marino Artisan Selection Platter 110g,$8.50,$77.27 / 1KG
Woolworths Corned Beef Silverside Portion 500g - 1.1kg,$22.00,$20.00 / 1KG
The Salad Servers Lentil Salad 800g,$11.55,$1.44 / 100G
San Marino Salami Soppressa Hot 100g,$7.50,$75.00 / 1KG
Leggos Fresh Beef Tomato & Parmesan Ravioli 630g,$7.00,$1.11 / 100G
Yumi's Roasted Beetroot Hommus Dip 200g,$3.50,$1.75 / 100G
Hans Devon Sliced Per Kg,$9.60,$9.60 / 1KG
D'orsogna Tasty Sticks Peri Peri From The Deli Per Kg,$33.50,$33.50 / 1KG
Don Salami White Hungarian 200g,$8.50,$42.50 / 1KG
Champagne Leg Ham Sliced From The Deli Per Kg,$22.00,$22.00 / 1KG
D'orsogna Diced Bacon Per Kg,$16.00,$16.00 / 1KG
Champagne Leg Ham Shaved From The Deli Per Kg,$22.00,$22.00 / 1KG
D'orsogna Ham Leg Shaved 400g,$6.50,$16.25 / 1KG
Essentials Garlic Bread 450g,$2.30,$0.51 / 100G
D'orsogna Ham Leg Triple Smoked 97% Fat Free Shaved 1kg,$22.50,$22.50 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Short Cut Bacon 200g,$4.30,$21.50 / 1KG
D'orsogna Middle Bacon Per Kg,$12.00,$12.00 / 1KG
Macro Firm Tofu 450g,$3.00,$6.67 / 1KG
