Product Name,Price,Price per Unit
Lamb Shanks 500g - 950g,$11.40,$12.00 / 1KG
Deli Leg Ham Shaved From The Deli Per Kg,$18.00,$18.00 / 1KG
Ocean Chef Squid Salt & Pepper 360g,$6.00,$16.67 / 1KG
Woolworths Corned Beef Silverside Portion 500g - 1.1kg,$22.00,$20.00 / 1KG
Hans Devon Sliced Per Kg,$9.60,$9.60 / 1KG
Woolworths Lamb Mince 500g,$7.50,$15.00 / 1KG
Macro Grass Fed Beef Sausage 500g,$9.00,$18.00 / 1KG
D'orsogna Diced Bacon Per Kg,$16.00,$16.00 / 1KG
Macro Chicken Breast Fillets Free Range 800g - 1.1kg,$16.50,$15.00 / 1KG
Ocean Chef Squid Rings Panko 360g,$6.00,$16.67 / 1KG
Ocean Blue Ocean Trout Smoked 100g,$8.50,$85.00 / 1KG
Chicken Thigh Cutlets Skin On Per Kg,$7.00,$7.00 / 1KG
Bertocchi Premium Boneless Leg Ham Shaved From The Deli Per Kg,$29.50,$29.50 / 1KG
Woolworths Rspca Approved Chicken Breast Schnitzels 500g,$10.50,$21.00 / 1KG
Woolworths Green Banana Prawns Large Thawed Per Kg,$26.00,$26.00 / 1KG
Woolworths Pork & Beef Mince 500g,$6.50,$13.00 / 1KG
D'orsogna Maple Glazed Streaky Bacon From The Deli Per Kg,$18.00,$18.00 / 1KG
Woolworths Cook Roast Beef With Onion & Garlic Gravy 500g,$13.00,$26.00 / 1KG
Don Shredded Ham Per Kg,$20.00,$20.00 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Macro Free Range Chicken Breast Schnitzel 500g,$10.50,$21.00 / 1KG
Woolworths Freshwater Basa Fillets Thawed Per Kg,$11.00,$11.00 / 1KG
Woolworths 6 Chicken Sausage With Roasted Garlic & Thyme 500g,$8.00,$16.00 / 1KG
Macro Chicken Thigh Fillets Free Range 480g - 550g,$10.18,$18.50 / 1KG
Woolworths Cook Chicken Breast Steaks Lemon & Pepper 500g,$10.50,$21.00 / 1KG
Macro Free Range Chicken Schnitzel 350g,$8.50,$2.43 / 100G
Ocean King Smoked Salmon 100g,$5.40,$54.00 / 1KG
Woolworths Thawed Extra Large Cooked Tiger Prawns Per Kg,$36.00,$36.00 / 1KG
Woolworths Chicken Mince 500g,$5.50,$11.00 / 1KG
Woolworths Shortcut Bacon 1kg,$12.00,$12.00 / 1KG
Noel Smoked Spanish Jamon Serrano Freshly Sliced From The Deli Per Kg,$50.00,$50.00 / 1KG
Chicken Wings Honey Soy Per Kg,$9.00,$9.00 / 1KG
Woolworths Pork Mince 800g,$7.00,$8.75 / 1KG
Woolworths Short Cut Bacon 200g,$4.30,$21.50 / 1KG
Woolworths Vannamei Prawns Small Cooked Thawed Per Kg,$20.00,$20.00 / 1KG
Ingham's Chicken Sliced Roll Per Kg,$15.00,$15.00 / 1KG
Birch & Waite Seafood Sauce Creamy Cocktail 250ml,$5.25,$2.10 / 100ML
Macro Whole Chicken Free Range 1.15kg - 2.25kg,$14.63,$6.50 / 1KG
Woolworths Cook Chicken Breast Steaks Sweet Soy Bbq 500g,$10.50,$21.00 / 1KG
Just Caught Frozen Natural Squid Rings 500g,$8.70,$17.40 / 1KG
Bertocchi Double Smoked Ham Off The Bone Freshly Shaved From The Deli Per Kg,$34.00,$34.00 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
D'orsogna Premium Ham Off The Bone Shaved From The Deli Per Kg,$29.00,$29.00 / 1KG
Ocean Chef Usa Sea Scallops 425g,$26.50,$62.35 / 1KG
Woolworths Diced Beef Heart Smart 500g,$11.00,$22.00 / 1KG
Woolworths Barramundi Thawed Fillets Per Kg,$19.00,$19.00 / 1KG
The British Sausage Co British Thick Pork Sausage 500g,$8.50,$17.00 / 1KG
"Woolworths Pork, Apple And Tasmanian Cider Sausages 500g",$9.00,$18.00 / 1KG
Just Caught Peeled & Deveined Raw Prawns 1kg,$28.00,$28.00 / 1KG
Woolworths Southern Style Buttermilk Chicken Thigh Fillet Burgers 350g,$9.00,$25.71 / 1KG
Macro Chicken Wing Nibbles Free Range 600g - 800g,$7.20,$9.00 / 1KG
Lamb Leg Roast 1.8kg - 2.8kg,$33.60,$12.00 / 1KG
Woolworths Roasted Garlic Chicken Tenderloins 400g,$9.50,$23.75 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet 1.5kg - 1.7kg,$18.70,$11.00 / 1KG
Green King Prawns Large Thawed Per Kg,$29.00,$29.00 / 1KG
Woolworths Rspca Approved Fresh Chicken Thigh Fillets Skinless Tray 1.3kg - 2kg,$27.00,$13.50 / 1KG
Woolworths Lamb Easy Carve Leg Roast 900g - 1.4kg,$25.20,$18.00 / 1KG
From The Deli Beretta Italian Prosciutto Di Parma Freshly Sliced Per Kg,$60.00,$60.00 / 1KG
Raw Prawns Tiger Extra Large Per Kg,$29.00,$29.00 / 1KG
Woolworths Smoked Mussels In Oil 85g,$1.70,$20.00 / 1KG
Hans Pork Ham Steaks 300g,$4.50,$15.00 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Birch & Waite Parsley Dill & Tarragon Seafood Sauce 250ml,$5.25,$2.10 / 100ML
Woolworths Cook Beef Rump Mini Roast With Mustard & Herbs 350g - 650g,$18.85,$29.00 / 1KG
Woolworths Pork Ribs 600g - 1.3kg,$26.00,$20.00 / 1KG
Ocean Blue Smoked Ocean Trout Sliced 50g,$4.90,$98.00 / 1KG
Woolworths Premium Roast Beef 97% Fat Free Sliced From The Deli Per Kg,$35.00,$35.00 / 1KG
Chicken Necks Fresh Per Kg,$5.00,$5.00 / 1KG
Woolworths Rspca Approved Chicken Tenderloins 600g,$10.00,$16.67 / 1KG
Woolworths Bbq Chicken Burgers Zucchini & Parmesan 450g,$9.00,$20.00 / 1KG
Woolworths Cook Chicken Kebab Honey Soy 750g,$11.50,$15.33 / 1KG
Macro Grass Fed Australian Beef Mince 500g,$10.00,$20.00 / 1KG
Woolworths Beef Bolar Blade Roast 1kg - 1.9kg,$28.50,$15.00 / 1KG
Just Caught Whiting Fillets Skin On 1kg,$12.00,$12.00 / 1KG
K-roo Kangaroo Sizzle Steak 400g,$10.50,$26.25 / 1KG
"Woolworths Chicken Sausages With Sundried Tomato, Mozzarella & Parsley 500g",$9.00,$18.00 / 1KG
Woolworths Bbq Chicken Breast Steaks With A Honey Mustard Marinade 500g,$10.50,$21.00 / 1KG
Woolworths Chicken Breast Fillet Skinless Small 500g - 650g,$9.10,$14.00 / 1KG
Macro Grass Fed Beef Mince Lean 500g,$11.00,$22.00 / 1KG
Woolworths Middle Bacon 1kg,$12.00,$12.00 / 1KG
Woolworths Australian Rare Roast Beef Sliced From The Deli Per Kg,$38.00,$38.00 / 1KG
Woolworths Rspca Approved Diced Breast 1kg,$15.50,$15.50 / 1KG
Woolworths Hickory Smoked Infused Beef Sausages 500g,$8.00,$16.00 / 1KG
Woolworths Bbq Wagyu & Beef Chuck Burgers With Onion & Pepper 500g,$10.00,$20.00 / 1KG
Tassal Salmon For Cooking 200g,$10.00,$50.00 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Woolworths Lamb Shoulder Roast 1.1kg - 1.7kg,$23.80,$14.00 / 1KG
Tassal Tassie Salmon Burgers 4 Pack,$13.00,$32.50 / 1KG
Thawed Marinated Garlic Prawn Per Kg,$33.00,$33.00 / 1KG
Macro Grass Fed Beef Sizzle Steaks 275g,$10.00,$36.36 / 1KG
Just Caught Raw Prawn Meat 300g,$10.00,$33.33 / 1KG
Ocean Chef Fish King Snapper Portions 1kg,$30.00,$30.00 / 1KG
D'orsogna Bacon Streaky 200g,$7.00,$35.00 / 1KG
Macro Grass Fed Beef Burger 500g,$9.00,$18.00 / 1KG
Ingham's Chicken Breast Supreme Shaved From The Deli Per Kg,$22.50,$22.50 / 1KG
Woolworths Stuffed Boneless Chicken Kyiv 700g,$9.00,$12.86 / 1KG
Holland House Rollmops Marinated 500g,$6.00,$12.00 / 1KG
Ingham's Turkey Breast Portion 400g,$10.00,$25.00 / 1KG
Woolworths Applewood Smoke Infused Pork Sausages 500g,$8.00,$16.00 / 1KG
Woolworths Frozen Basa Fillets 1kg,$8.00,$8.00 / 1KG
Ingham's Classic Turkey Breast Oven Roasted 800g,$22.50,$28.13 / 1KG
Woolworths Cook Boneless Chicken With Sweet Roasted Pumpkin Stuffing 500g - 600g,$10.80,$18.00 / 1KG
D'orsogna Shortcut Bacon 1kg,$13.00,$13.00 / 1KG
Woolworths Sweet & Smokey Bbq Chicken Wings Per Kg,$9.00,$9.00 / 1KG
Woolworths Lamb Strips Souvlaki Style 300g,$9.00,$30.00 / 1KG
Woolworths Middle Bacon 250g,$4.30,$17.20 / 1KG
De Costi Whiting Fillets Crumbed 275g,$11.00,$40.00 / 1KG
Woolworths Diced Beef Casserole 500g,$11.00,$22.00 / 1KG
Woolworths Fresh Skin On Barramundi Fillets Per Kg,$30.00,$30.00 / 1KG
Woolworths 8 Beef Sausages 600g,$7.00,$11.67 / 1KG
Primo Champagne Ham Thinly Sliced 100g,$3.70,$37.00 / 1KG
Woolworths Rspca Approved Chicken Breast Fillet Min. 250g,$10.00,$10.00 / 1KG
Salmon Tasmanian Atlantic Fillets Skin On Per Kg,$29.00,$29.00 / 1KG
Primo Hungarian Salami Mild 80g,$3.70,$46.25 / 1KG
Chicken Sandwich Schnitzel Each,$1.40,$1.40 / 1EA
Mccain Pub Style Extra Crispy Chips 750g,$4.80,$6.40 / 1KG
Woolworths 8 Beef Sausages Herb & Garlic 600g,$7.00,$11.67 / 1KG
Ingham's Chicken Breast Supreme Sliced From The Deli Per Kg,$22.50,$22.50 / 1KG
Woolworths Chicken Meatballs 400g,$7.50,$18.75 / 1KG
Moira Mac's Marinated Bbq Chicken Breast Sliced Per Kg,$27.50,$27.50 / 1KG
Tassal Smoked Tassie Salmon 50g X 2 Pack,$10.50,$105.00 / 1KG
Woolworths Fresh Skin Off Barramundi Fillets Per Kg,$36.00,$36.00 / 1KG
Woolworths Beef Scotch Fillet Thin Slice 450g - 750g,$32.25,$43.00 / 1KG
Woolworths Scotch Fillet Pork 600g,$10.00,$16.67 / 1KG
Woolworths Chicken Tenders 400g,$8.00,$20.00 / 1KG
Steggles Crumbed Chicken Breast Fingers 360g,$5.00,$13.89 / 1KG
Woolworths Pork Loin Roast Boneless Small 1.2kg - 2kg,$28.00,$14.00 / 1KG
Woolworths Beef Lasagne 2kg,$13.30,$6.65 / 1KG
Woolworths Smoked Fillets Cod Per Kg,$14.00,$14.00 / 1KG
Ocean King Smoked Ocean Trout 100g,$5.40,$54.00 / 1KG
Ingham's Turkey Mignon Wrapped In Bacon With Garlic Butter 400g,$11.00,$27.50 / 1KG
Woolworths Chicken Thigh Skinless Fillets Small 500g - 650g,$10.73,$16.50 / 1KG
Woolworths Bbq Beef Kebabs Mild 450g,$8.50,$18.89 / 1KG
Ocean Chef Tuna Yellowfin Tuna Steaks 1kg,$27.00,$27.00 / 1KG
Woolworths Premium Roast Beef 97% Fat Free Shaved From The Deli Per Kg,$35.00,$35.00 / 1KG
D'orsogna Streaky Bacon 500g,$12.50,$25.00 / 1KG
